日期,type,北京市,天津市,石家庄市,唐山市,秦皇岛市,邯郸市,保定市,张家口市,承德市,廊坊市,沧州市,衡水市,邢台市,太原市,呼和浩特市,沈阳市,大连市,长春市,哈尔滨市,上海市,南京市,苏州市,南通市,连云港市,徐州市,扬州市,无锡市,常州市,镇江市,泰州市,淮安市,盐城市,宿迁市,杭州市,宁波市,温州市,绍兴市,湖州市,嘉兴市,台州市,舟山市,金华市,衢州市,丽水市,合肥市,福州市,厦门市,南昌市,济南市,青岛市,郑州市,武汉市,长沙市,广州市,深圳市,珠海市,佛山市,中山市,江门市,东莞市,惠州市,肇庆市,南宁市,海口市,重庆市,成都市,贵阳市,昆明市,拉萨市,西安市,兰州市,西宁市,银川市,乌鲁木齐市,湘潭市,株洲市,包头市,鄂尔多斯市,营口市,丹东市,盘锦市,葫芦岛市,泉州市,临沂市,德州市,聊城市,滨州市,淄博市,枣庄市,烟台市,潍坊市,济宁市,泰安市,日照市,威海市,东营市,韶关市,汕头市,湛江市,茂名市,梅州市,汕尾市,河源市,阳江市,清远市,潮州市,揭阳市,云浮市,玉溪市,菏泽市,大同市,长治市,临汾市,阳泉市,赤峰市,鞍山市,抚顺市,本溪市,锦州市,吉林市,齐齐哈尔市,牡丹江市,大庆市,芜湖市,马鞍山市,九江市,洛阳市,安阳市,开封市,焦作市,平顶山市,三门峡市,宜昌市,荆州市,岳阳市,常德市,张家界市,桂林市,北海市,柳州市,三亚市,绵阳市,宜宾市,攀枝花市,泸州市,自贡市,德阳市,南充市,遵义市,曲靖市,咸阳市,铜川市,延安市,宝鸡市,渭南市,金昌市,嘉峪关市,石嘴山市,克拉玛依市,信阳市,周口市,漳州市,晋城市,朔州市,晋中市,运城市,忻州市,吕梁市,乌海市,通辽市,呼伦贝尔市,巴彦淖尔市,乌兰察布市,兴安盟,锡林郭勒盟,阿拉善盟,阜新市,辽阳市,铁岭市,朝阳市,四平市,辽源市,通化市,白山市,松原市,白城市,鸡西市,鹤岗市,双鸭山市,伊春市,佳木斯市,七台河市,黑河市,绥化市,大兴安岭地区,蚌埠市,淮南市,淮北市,铜陵市,安庆市,黄山市,滁州市,阜阳市,宿州市,六安市,亳州市,池州市,宣城市,莆田市,三明市,南平市,龙岩市,宁德市,景德镇市,萍乡市,新余市,鹰潭市,赣州市,吉安市,宜春市,抚州市,上饶市,鹤壁市,新乡市,濮阳市,许昌市,漯河市,南阳市,商丘市,驻马店市,黄石市,十堰市,襄阳市,鄂州市,荆门市,孝感市,黄冈市,咸宁市,随州市,衡阳市,邵阳市,益阳市,郴州市,永州市,怀化市,娄底市,梧州市,防城港市,钦州市,贵港市,玉林市,百色市,贺州市,河池市,来宾市,崇左市,广元市,遂宁市,内江市,乐山市,眉山市,广安市,达州市,雅安市,巴中市,资阳市,六盘水市,安顺市,毕节市,保山市,昭通市,丽江市,普洱市,临沧市,昌都市,山南市,日喀则市,阿里地区,林芝市,汉中市,榆林市,安康市,商洛市,白银市,天水市,武威市,张掖市,平凉市,酒泉市,庆阳市,定西市,陇南市,吴忠市,中卫市,固原市,阿克苏地区,喀什地区,和田地区,塔城地区,阿勒泰地区,石河子市,五家渠市
2015/01/02,AQI,69.83,93.52,183.96,89.61,68.3,186.48,225.83,58.48,56.13,82.83,96.04,146.22,182.57,139.09,113.74,66.52,45.83,94.74,109.35,102.78,98.48,104.87,119.91,134.09,125.13,104.13,103.74,134.09,97.74,123.17,123.48,110.57,101.13,90.0,96.3,72.39,97.57,72.52,111.17,72.17,75.09,75.61,66.39,60.39,81.91,63.65,55.7,57.57,122.17,86.13,159.61,114.3,88.43,77.22,85.91,98.04,76.43,80.61,113.13,99.65,71.39,71.43,131.13,67.7,228.35,212.43,113.96,59.43,61.52,108.74,159.74,95.91,247.96,228.57,88.87,104.04,118.96,64.61,41.83,59.86,45.3,63.26,48.43,190.87,130.3,135.61,96.78,118.78,161.26,51.74,83.61,116.87,124.35,118.0,43.57,85.22,44.78,68.48,85.83,113.74,69.57,86.57,81.0,87.09,66.35,95.48,64.78,63.61,61.52,146.17,95.7,126.26,110.57,116.61,44.17,62.83,103.04,82.0,38.39,65.96,30.78,50.65,44.35,77.39,104.22,74.91,86.17,124.61,136.52,133.43,134.0,92.39,139.39,100.65,86.13,88.39,118.22,113.65,93.91,137.0,64.04,143.48,230.83,85.35,228.65,213.22,168.48,209.13,101.7,69.3,100.78,154.96,117.09,125.57,94.22,100.74,59.74,145.39,105.96,107.57,120.83,,143.96,111.04,103.83,155.0,150.65,130.35,178.3,50.04,50.0,136.35,67.39,36.13,19.74,67.96,42.04,52.61,75.48,52.83,81.74,111.13,91.57,103.48,40.91,61.91,22.3,46.48,75.65,74.09,48.61,126.09,34.48,75.48,33.26,87.17,50.17,83.48,56.09,65.26,47.35,106.91,62.09,73.52,65.91,87.68,91.87,58.74,55.3,67.74,66.65,72.3,61.13,53.04,97.3,36.17,93.83,59.96,64.87,87.52,79.65,85.48,84.43,153.35,86.22,146.48,101.57,129.26,116.57,106.83,86.48,81.61,120.65,84.57,118.13,123.13,78.78,83.74,129.87,96.13,105.13,119.48,119.26,103.43,81.43,89.22,114.39,108.61,124.0,118.7,134.65,130.83,128.5,117.83,159.52,135.78,92.09,187.35,223.57,158.13,204.17,238.78,364.09,93.22,230.87,182.22,138.7,71.52,114.87,96.43,126.04,30.39,63.39,63.39,70.0,35.17,55.74,41.0,38.04,224.78,76.52,131.13,78.83,183.17,180.83,105.04,98.61,156.35,82.17,109.96,117.43,134.96,204.13,190.73,124.39,78.43,234.87,143.22,51.61,33.87,200.04,86.26
2015/01/03,AQI,192.5,212.88,301.83,174.58,155.0,202.21,364.83,97.58,104.29,201.58,169.29,216.25,320.75,222.75,124.29,75.5,74.96,63.0,88.21,130.0,140.58,153.62,162.25,184.38,142.5,139.54,149.88,164.42,155.96,175.46,191.12,146.0,113.79,133.12,109.67,92.25,126.83,150.29,127.04,77.54,69.5,107.12,87.0,72.67,93.29,60.96,54.79,83.5,147.88,94.17,258.12,148.92,138.96,134.75,67.88,69.54,125.33,70.25,139.21,130.58,72.67,107.75,123.5,52.29,237.21,202.29,118.67,49.67,68.5,150.54,188.17,69.75,254.96,136.54,130.04,134.75,178.12,72.04,41.54,77.53,66.62,113.0,49.04,204.12,201.29,174.62,157.58,133.17,199.46,69.0,132.17,132.17,159.67,151.96,53.54,148.54,57.83,65.17,62.42,96.88,89.38,60.58,105.79,81.79,92.38,72.33,93.29,71.46,53.33,169.67,106.96,99.62,178.88,145.79,85.67,85.67,80.88,69.17,104.21,41.33,68.83,87.88,96.71,89.75,123.92,92.54,124.92,142.54,204.25,219.58,195.54,137.33,242.71,163.17,97.67,107.46,141.21,161.0,86.12,179.25,48.67,169.83,245.21,92.75,220.62,243.96,164.42,250.33,133.96,70.29,137.12,147.12,128.21,182.62,138.46,126.96,93.92,186.12,103.92,129.17,169.58,,177.42,83.96,146.38,201.21,230.62,178.83,168.42,104.17,101.33,101.62,76.79,75.58,60.46,54.33,100.71,55.33,68.54,95.04,62.88,67.17,91.67,117.5,65.83,83.58,65.0,161.21,90.62,95.79,93.79,131.88,69.5,69.79,49.46,102.96,53.62,87.96,58.71,73.71,54.17,140.29,76.62,90.88,82.75,80.96,97.62,67.62,52.79,68.29,66.0,83.79,55.29,74.83,166.25,83.04,120.88,95.25,82.25,133.62,104.12,74.67,112.88,256.96,114.83,204.67,148.08,162.08,124.46,150.62,103.96,110.12,192.54,111.79,168.0,147.33,113.08,117.5,155.67,174.54,202.21,161.29,120.17,168.29,140.75,121.12,127.33,96.71,115.92,144.92,152.79,160.21,131.5,155.29,196.38,127.54,112.92,178.08,220.42,169.62,173.46,256.54,327.17,87.79,190.92,191.08,118.58,88.58,128.88,90.79,158.21,31.96,66.46,61.71,48.75,39.67,63.12,37.21,43.0,251.71,105.75,155.29,89.71,228.25,247.54,99.42,70.79,179.38,136.67,155.42,124.04,158.04,174.12,197.96,161.04,95.08,243.79,123.67,52.42,34.33,164.83,93.29
2015/01/04,AQI,216.0,381.67,468.5,226.17,118.0,432.25,448.17,129.33,156.5,291.92,328.83,434.25,483.83,118.58,138.25,122.25,181.33,202.08,236.58,184.25,160.58,206.08,213.0,292.42,193.42,177.42,188.67,222.92,212.25,240.83,220.25,209.58,150.58,130.0,98.58,95.17,149.08,171.75,117.42,106.92,64.33,114.17,93.42,95.33,127.5,76.5,74.83,134.58,224.17,221.5,300.33,180.17,129.83,93.92,61.83,64.25,94.67,62.25,102.17,101.33,56.67,124.08,80.92,53.33,269.5,224.25,88.92,50.08,66.25,215.58,96.25,79.67,226.75,157.58,119.08,107.33,220.17,87.67,144.25,172.75,154.58,131.5,62.58,277.67,287.33,207.92,286.5,231.0,256.33,269.58,220.08,165.83,211.92,202.25,244.5,272.75,121.17,74.42,53.17,62.42,73.0,55.92,95.75,64.33,120.25,106.92,94.5,58.83,45.08,251.92,114.08,175.83,164.83,143.33,206.75,172.08,140.25,111.08,132.08,202.25,133.25,164.25,197.17,100.25,138.08,103.67,219.67,370.17,182.33,301.67,236.83,230.83,343.67,222.08,95.83,127.0,224.25,248.17,59.33,186.17,35.17,184.5,246.08,98.5,234.83,246.17,203.17,197.5,149.42,49.17,204.92,224.92,188.25,150.25,210.17,96.33,79.25,201.17,89.42,176.25,187.17,,192.5,131.08,143.58,283.92,343.5,212.25,102.0,121.42,93.0,134.42,133.75,114.33,48.75,76.75,123.0,179.17,149.42,110.17,154.92,113.92,116.67,133.25,167.75,125.67,174.33,296.67,257.67,137.83,318.33,251.17,124.75,110.83,47.17,133.75,81.25,96.25,128.08,99.0,78.92,178.75,104.08,102.75,114.17,109.25,126.0,71.75,77.92,90.5,77.42,71.83,67.42,108.0,220.08,116.67,114.67,94.25,79.83,140.42,80.5,81.33,230.5,258.42,224.33,199.17,166.92,203.67,187.0,178.5,144.17,155.33,284.67,147.5,240.58,190.92,130.67,124.75,189.42,137.08,161.58,132.58,120.17,148.25,330.58,134.17,132.0,104.92,103.08,170.42,205.42,98.92,190.82,158.83,137.5,97.0,146.33,200.92,233.92,267.33,239.92,289.42,382.33,158.67,192.17,214.5,141.0,76.92,118.0,104.58,79.92,34.75,60.58,70.42,56.42,91.75,45.92,36.0,31.08,296.17,98.25,177.67,138.58,147.58,235.42,109.5,101.83,148.33,94.67,119.83,78.83,225.25,105.5,140.42,128.25,99.58,201.83,270.83,59.83,29.33,146.0,145.08
2015/01/05,AQI,152.68,161.23,341.77,157.91,128.73,383.68,325.95,96.59,110.45,148.36,233.91,449.23,436.0,146.14,77.0,125.23,166.59,115.59,133.14,105.82,210.55,158.09,171.41,235.27,302.05,209.82,184.05,230.41,221.5,265.86,270.23,216.82,211.5,162.73,81.41,131.73,138.86,212.73,138.86,108.0,52.86,207.86,119.18,131.0,184.91,109.82,106.05,120.91,316.59,202.36,375.27,202.14,178.95,83.18,55.73,59.55,87.32,54.41,92.68,77.95,66.41,129.95,56.59,38.32,169.86,161.05,78.95,48.82,36.09,92.05,50.55,60.73,137.27,172.14,165.0,183.09,78.14,67.18,80.45,146.45,136.55,118.05,99.23,296.23,352.41,324.73,300.36,286.5,320.64,211.5,234.68,222.91,240.82,226.5,190.68,254.05,180.05,139.05,44.77,51.05,95.95,65.91,78.23,63.41,138.62,152.5,132.36,67.91,40.41,356.36,90.5,153.32,112.55,137.64,94.95,107.73,141.73,95.27,75.0,90.55,111.55,149.36,127.23,147.77,185.41,147.36,184.68,445.41,398.14,377.77,256.73,178.95,366.09,220.14,108.41,171.14,193.45,216.36,43.14,160.41,36.73,138.95,172.41,65.95,189.86,204.41,173.36,181.0,84.27,38.27,90.36,108.59,102.23,77.68,86.27,54.09,65.27,121.59,58.68,257.41,333.18,,186.41,103.77,139.55,193.0,245.27,145.95,93.18,107.91,56.59,106.27,67.0,64.05,56.32,53.32,95.64,93.55,103.0,79.64,91.91,109.32,155.18,184.41,82.5,87.91,143.91,239.36,162.0,123.91,209.23,239.27,87.86,95.18,64.55,197.5,108.68,172.36,178.68,126.59,103.32,230.82,147.05,178.82,143.59,174.86,145.0,98.18,127.95,121.36,110.32,87.68,88.05,112.95,211.41,118.73,150.64,106.91,66.82,131.32,78.36,107.77,351.18,343.68,301.5,298.36,248.64,231.32,281.86,266.91,194.0,182.05,257.05,163.64,244.23,183.73,145.32,144.36,252.14,172.5,148.23,194.59,84.0,182.14,170.91,158.45,140.77,47.0,60.77,144.55,187.05,121.23,129.77,116.32,115.0,126.73,64.36,179.05,216.32,170.05,169.5,139.55,215.73,90.59,130.05,196.32,126.0,68.23,43.68,83.41,58.09,27.41,67.05,93.55,50.32,40.18,44.95,41.05,29.23,231.18,47.59,207.86,103.68,70.0,133.36,82.5,111.23,78.91,82.68,91.5,46.68,108.45,102.0,56.95,62.59,86.95,155.0,317.73,42.55,31.68,135.45,59.77
2015/01/06,AQI,50.45,55.05,79.41,63.77,61.18,62.95,97.55,44.0,46.14,50.55,55.64,89.64,98.36,63.86,64.09,60.41,44.27,61.68,49.5,131.14,155.41,149.77,135.73,80.5,128.32,112.64,148.91,148.23,131.27,126.41,91.73,79.45,75.09,150.95,128.0,145.59,154.77,165.23,143.64,129.14,94.09,172.23,104.18,158.45,174.18,146.36,129.68,100.77,72.55,53.23,116.55,286.18,223.73,111.64,61.5,61.5,101.55,69.77,81.45,88.32,67.86,127.77,54.91,33.45,84.91,83.91,55.09,43.59,37.82,64.77,64.05,58.23,96.18,130.64,209.45,218.27,72.68,41.64,39.09,50.41,48.36,57.86,158.82,92.32,58.45,61.14,45.82,76.68,136.82,28.55,51.91,87.82,73.18,67.77,44.82,45.5,136.27,142.18,31.0,45.64,89.55,77.59,74.55,42.0,118.55,134.77,124.55,65.64,44.27,112.27,62.68,99.41,76.82,71.14,40.05,80.77,82.05,64.05,47.05,61.5,24.55,45.41,30.95,140.23,184.41,124.73,118.09,59.05,111.55,133.55,130.59,76.45,161.14,150.36,136.09,102.91,121.14,144.77,36.18,91.0,33.23,32.68,61.77,51.73,71.77,73.91,50.86,73.73,55.41,46.0,61.32,72.95,70.86,56.77,50.36,62.36,111.27,66.68,54.68,262.5,166.82,,84.91,79.59,66.32,77.14,75.77,95.32,118.14,57.68,49.05,70.27,50.82,39.18,30.14,59.18,44.14,82.95,64.18,56.5,48.73,31.36,55.32,57.68,41.09,53.77,24.95,99.77,48.41,68.27,36.14,71.55,31.18,24.68,30.0,124.64,98.0,134.5,171.59,122.09,132.82,142.68,109.68,94.14,145.91,110.14,185.05,162.5,173.05,112.05,118.68,76.41,148.41,148.91,170.59,119.59,144.86,97.45,96.82,100.27,104.73,84.36,63.91,74.64,58.95,100.86,133.45,141.27,127.45,195.45,206.0,101.68,203.45,236.14,171.55,262.32,225.36,228.36,200.18,159.18,136.18,180.59,152.36,161.91,122.73,129.5,108.36,42.55,58.05,82.55,88.77,76.95,128.59,51.27,90.23,88.09,26.09,64.18,72.41,73.77,90.05,60.09,70.14,70.41,47.09,74.55,78.32,39.18,40.73,66.18,62.5,28.59,67.86,59.91,44.36,46.45,66.23,40.86,33.27,46.41,39.32,108.14,73.82,129.0,104.14,84.14,80.95,73.86,215.0,74.14,54.91,69.0,86.73,120.23,83.64,97.77,185.68,254.36,56.77,39.0,118.91,112.23
2015/01/07,AQI,86.88,106.29,189.62,114.62,69.88,109.21,225.96,56.75,62.71,124.96,126.12,115.75,169.33,135.33,100.58,58.5,43.79,105.67,80.75,54.58,76.12,79.29,69.12,76.38,100.08,82.04,80.92,76.25,71.04,80.42,97.75,72.71,86.33,68.83,63.46,41.21,75.83,67.21,63.79,58.0,40.42,79.79,48.67,51.96,92.96,62.62,56.62,58.25,96.88,78.79,162.83,171.71,156.71,62.38,67.67,83.71,61.96,74.38,82.75,72.25,54.21,56.33,71.62,60.21,86.54,96.62,70.33,77.83,45.92,92.25,67.5,61.25,168.79,211.96,143.96,158.75,137.79,63.38,66.25,52.67,44.42,71.96,50.62,78.17,118.04,90.17,78.42,130.42,124.08,34.96,90.62,91.17,109.12,66.79,34.0,75.21,46.96,87.42,87.5,92.96,58.54,61.58,54.62,72.79,47.88,93.29,89.88,42.88,54.12,118.96,97.58,88.96,88.67,113.88,84.38,68.21,96.38,63.75,49.71,118.75,40.25,41.21,42.17,65.29,84.96,66.42,85.67,118.29,164.79,120.29,114.62,75.62,173.0,141.12,107.58,96.05,116.79,86.29,86.62,87.17,42.62,65.5,113.21,73.17,79.42,87.96,78.04,87.33,101.71,57.38,81.38,96.5,88.21,78.21,69.29,161.12,137.5,130.08,86.25,142.79,119.79,,124.04,95.5,127.38,78.62,157.71,127.42,112.5,59.62,80.33,105.62,85.92,65.67,35.75,92.46,39.67,66.54,76.38,118.08,87.29,85.62,109.42,93.75,58.17,78.5,19.88,38.96,32.12,49.33,34.0,123.18,30.33,35.0,31.21,85.38,64.79,89.88,72.25,56.0,54.12,82.96,87.08,70.95,75.5,73.08,68.29,70.67,57.71,48.21,42.25,44.67,54.0,63.0,164.08,63.75,53.83,54.67,62.17,82.04,44.33,35.79,70.21,94.42,147.96,128.08,97.38,118.08,103.0,122.0,162.17,95.08,140.5,151.46,144.12,185.88,135.75,171.21,143.33,112.25,103.12,166.79,109.29,100.12,101.0,116.17,82.67,67.33,73.12,93.83,92.92,63.42,91.46,59.58,89.58,53.92,40.12,62.88,71.75,98.83,93.62,73.17,94.58,78.38,76.29,60.58,110.12,55.79,71.42,104.71,66.96,34.04,71.92,59.54,95.92,47.58,77.21,42.29,27.17,91.04,67.29,84.83,61.79,134.92,133.92,124.21,268.04,109.96,165.67,86.75,88.33,107.75,166.25,124.29,90.62,93.0,217.42,137.67,55.71,44.58,216.46,261.75
2015/01/08,AQI,164.38,154.19,212.86,141.43,116.48,246.57,379.33,67.43,92.52,159.24,151.19,208.48,301.05,124.19,120.9,189.76,58.0,136.43,190.52,86.62,132.29,177.0,99.9,177.05,151.86,119.29,183.05,190.48,124.62,167.19,149.29,124.57,132.52,112.29,156.62,82.71,138.62,114.1,154.24,98.76,77.33,94.38,66.43,81.29,149.71,51.76,55.24,77.52,140.81,72.24,248.43,207.62,173.9,61.86,60.76,74.33,55.62,63.67,66.38,63.95,54.33,48.19,73.52,62.86,99.38,106.62,72.38,74.81,28.62,100.19,96.81,63.71,139.76,267.48,155.81,156.0,135.48,91.62,142.52,49.29,103.52,112.43,50.81,230.38,167.43,167.76,153.38,190.29,227.52,62.52,107.52,168.67,204.24,130.57,46.71,129.48,58.95,57.05,83.0,80.76,58.9,56.14,65.29,58.48,51.33,63.0,56.71,37.1,54.19,217.24,82.05,119.0,147.62,98.52,118.57,102.38,96.19,102.38,91.52,112.86,53.62,51.33,110.38,101.29,160.1,87.67,114.52,218.1,280.95,112.95,171.05,106.57,236.29,204.24,105.67,133.81,129.76,114.57,69.1,88.29,52.81,64.33,119.1,83.19,88.05,89.67,81.95,89.71,75.81,52.14,110.9,96.76,97.52,67.24,88.24,71.19,68.71,151.38,97.67,121.52,176.71,,142.0,79.76,112.9,170.0,163.86,110.86,95.67,88.62,94.1,95.29,77.52,96.9,40.33,68.52,95.52,129.57,90.95,163.76,97.71,124.19,139.19,105.71,55.86,139.19,20.95,40.38,54.9,52.62,42.19,,38.95,99.86,25.1,123.24,70.24,144.29,123.57,72.95,62.29,121.9,116.67,112.33,86.24,113.14,87.24,91.24,56.52,51.48,59.24,43.43,56.0,91.05,142.76,85.67,80.0,66.0,79.52,60.9,61.71,51.29,100.05,186.95,303.86,197.86,123.86,163.24,174.76,131.57,180.0,78.52,210.52,178.81,211.33,240.52,154.86,136.9,155.33,150.48,177.81,197.81,104.62,124.1,124.67,150.86,63.52,65.05,74.95,67.57,57.57,80.57,83.0,65.14,94.05,70.52,50.24,68.05,91.29,89.81,98.24,103.71,123.76,79.57,87.24,69.19,116.9,66.57,49.76,108.1,49.81,36.71,67.95,68.62,55.0,39.52,47.33,42.67,31.38,128.33,83.05,95.29,79.14,113.67,158.48,103.43,73.57,88.81,70.95,95.19,89.24,99.57,103.9,132.29,66.24,88.05,298.81,169.81,46.67,33.52,138.62,195.71
2015/01/09,AQI,102.83,181.17,268.52,173.22,136.65,293.0,432.83,49.61,63.26,146.09,185.57,286.65,303.91,96.52,73.43,255.09,107.87,160.7,224.22,187.26,164.48,195.43,230.78,331.09,219.74,157.0,203.43,218.04,157.83,205.52,187.78,210.26,159.57,161.78,190.87,129.0,180.04,150.65,193.09,132.09,114.83,127.96,86.83,104.87,134.22,76.04,62.26,95.22,259.43,236.39,138.65,246.35,199.87,77.43,91.57,101.52,75.52,99.61,98.83,86.09,69.61,64.26,88.04,68.26,129.35,123.17,70.26,17.96,31.48,110.13,124.09,61.0,95.35,179.87,189.35,212.09,80.57,47.57,100.0,101.7,138.26,122.91,66.7,361.78,240.74,309.48,181.26,288.52,323.48,161.65,255.61,279.43,328.3,264.87,135.17,209.48,66.04,68.87,91.96,102.22,78.22,81.22,77.17,80.43,60.17,92.04,88.83,56.26,17.7,281.52,67.48,124.3,155.52,63.04,61.26,150.7,174.13,150.57,96.74,102.39,67.39,82.57,99.13,113.87,167.13,112.22,114.0,279.52,150.3,75.3,124.35,108.0,272.17,266.04,124.0,115.52,154.87,140.17,95.35,96.22,38.48,71.13,85.78,37.96,98.43,111.3,94.78,117.61,70.22,36.65,116.39,101.43,89.61,67.7,100.7,67.78,63.09,124.7,77.61,123.26,155.35,,140.78,87.78,106.09,194.57,105.57,138.83,94.83,82.35,118.57,108.22,51.61,66.13,33.0,48.91,100.96,158.09,156.78,156.22,119.91,143.26,130.3,126.61,83.39,82.83,34.35,113.26,93.61,69.43,63.09,,48.61,217.0,24.78,119.39,100.7,207.7,160.17,100.39,75.96,138.52,95.22,138.78,86.43,122.3,93.65,103.04,75.91,68.74,79.17,63.96,71.74,104.04,185.0,103.48,110.35,75.7,86.39,76.3,72.17,79.78,131.35,187.7,340.48,132.43,112.22,170.43,183.3,129.43,221.09,67.0,211.39,211.13,256.09,268.26,203.74,149.57,185.39,186.83,168.87,160.91,117.3,140.57,122.83,145.22,95.83,90.74,103.22,98.17,101.17,59.04,115.78,60.74,94.26,74.83,62.7,86.52,129.17,77.96,106.61,105.57,159.74,59.39,94.13,89.13,62.91,35.57,26.3,63.43,55.96,32.26,22.26,55.52,34.91,48.74,56.35,39.87,32.48,196.09,89.22,114.87,67.74,138.17,144.7,78.0,70.3,100.65,81.13,92.7,97.13,106.35,110.83,101.04,82.35,92.65,249.43,164.22,85.91,38.96,131.57,159.13
2015/01/10,AQI,202.25,226.5,243.04,200.04,134.42,177.29,258.0,58.46,81.92,238.17,151.67,288.92,273.17,132.21,111.17,173.54,123.96,181.71,231.5,238.25,159.25,206.04,270.62,293.75,231.54,150.0,202.25,228.46,166.62,218.42,258.33,269.83,201.92,174.88,244.38,190.71,192.04,153.88,210.04,158.96,195.46,197.92,124.04,124.46,170.46,80.92,69.46,123.17,209.0,183.21,283.54,235.83,189.54,78.79,93.67,112.62,82.25,107.58,108.75,93.67,77.04,64.08,38.75,79.96,134.71,119.62,77.33,35.92,33.17,159.75,118.88,62.38,170.96,133.38,151.33,174.25,138.46,50.58,49.88,115.79,80.67,91.46,70.0,369.42,296.12,366.75,220.5,205.83,317.25,88.04,146.71,321.33,289.17,229.5,62.58,218.75,62.5,81.92,101.62,109.38,82.62,89.54,88.17,82.54,69.79,93.88,101.17,62.0,23.21,351.62,69.21,134.88,165.58,68.79,88.42,112.08,168.08,144.0,104.08,203.83,95.92,95.54,94.71,119.58,169.12,156.46,158.21,235.12,216.75,97.42,149.83,144.58,216.46,291.29,120.42,100.11,117.54,57.83,91.96,44.62,50.67,70.38,134.42,32.42,108.71,146.79,107.42,113.29,91.75,45.04,157.67,115.83,95.71,97.12,154.46,100.79,72.96,122.92,83.38,122.58,177.42,,118.25,101.21,110.33,222.29,95.71,133.12,214.67,70.79,96.04,176.17,60.83,86.88,39.79,57.29,88.29,102.54,111.79,76.33,130.04,127.46,104.42,124.33,121.62,118.96,41.17,166.17,104.17,73.62,114.96,,39.08,206.92,29.17,118.79,112.08,213.33,205.17,99.46,84.17,125.21,119.46,117.83,87.46,129.25,100.42,107.79,64.08,103.5,91.75,73.96,92.29,139.25,231.33,110.67,149.58,80.96,96.21,89.96,118.12,91.21,136.17,199.17,218.08,194.54,141.04,173.25,207.25,122.54,227.58,72.5,208.38,212.54,256.0,234.79,248.62,145.58,188.92,97.12,97.88,120.17,99.62,75.83,92.83,124.42,92.04,54.42,55.08,56.38,110.17,30.83,90.96,38.17,39.08,18.92,73.17,90.42,132.88,111.58,113.25,106.54,206.79,100.25,98.42,85.79,73.79,38.96,49.33,54.83,70.12,25.33,19.79,49.88,30.08,41.67,58.5,49.29,52.46,244.12,111.08,142.79,63.08,164.79,165.92,100.82,75.96,132.46,84.17,111.0,93.46,108.67,170.04,237.62,76.58,107.38,277.17,166.04,59.33,41.46,117.62,117.33
2015/01/11,AQI,55.35,86.91,125.52,111.65,52.91,143.61,179.52,55.09,52.91,100.83,101.09,161.09,176.13,122.74,115.35,127.87,52.52,172.35,150.09,254.65,170.22,218.09,235.04,170.3,201.0,145.26,206.48,228.3,162.83,185.96,176.65,160.83,133.3,131.39,148.78,122.7,139.22,132.04,182.48,103.91,151.3,153.7,102.22,113.7,143.35,67.13,64.78,130.17,179.87,149.52,242.39,236.65,209.3,74.7,96.78,114.0,71.22,94.26,91.17,96.17,81.26,49.96,33.04,78.04,137.43,169.09,48.35,50.22,42.0,202.87,126.13,61.09,245.04,148.43,143.04,173.57,147.13,66.52,34.09,57.13,52.35,55.83,61.57,223.39,169.04,196.7,126.91,148.7,202.35,56.57,106.57,174.26,170.04,169.48,61.91,114.74,48.65,89.96,86.09,119.57,94.78,84.43,101.83,84.87,52.61,90.04,100.7,47.04,40.61,263.17,91.13,135.22,150.22,95.04,52.48,104.65,122.43,125.35,43.13,172.48,68.87,79.22,57.61,115.57,185.26,127.91,161.13,201.35,159.04,114.35,198.52,186.04,206.78,166.78,115.48,126.86,100.96,48.3,39.04,54.78,42.43,82.78,104.57,41.04,114.48,124.61,141.0,141.3,91.35,44.26,217.17,163.09,105.65,116.39,230.0,99.57,121.52,181.0,86.04,168.57,235.22,,112.13,149.65,105.26,264.3,158.7,147.91,232.26,59.52,92.3,202.83,115.04,78.35,40.57,95.09,54.43,96.13,144.48,66.09,146.35,133.96,57.3,78.04,78.39,86.13,41.65,73.48,79.43,41.35,82.7,,34.09,78.26,31.39,106.17,99.0,195.74,162.39,96.7,81.7,127.78,99.26,95.87,83.57,126.3,89.57,86.48,71.78,89.78,93.3,72.83,64.22,152.22,227.83,96.17,157.87,80.09,110.0,84.65,127.65,98.35,92.87,174.43,103.96,245.48,186.43,191.61,205.91,177.83,205.09,75.0,249.0,195.13,240.7,214.7,210.65,124.26,214.43,90.91,96.52,94.17,82.61,82.61,148.65,161.43,53.17,23.96,25.39,24.74,50.65,60.17,59.3,36.39,37.87,19.57,73.22,106.26,143.17,108.74,104.0,126.83,204.22,111.91,119.0,116.83,68.74,37.91,30.61,62.96,51.78,25.7,24.65,60.83,60.14,40.78,67.87,65.48,32.48,232.87,102.61,182.22,54.43,201.0,180.09,139.14,102.3,123.7,132.43,113.96,96.52,115.17,199.43,182.78,83.57,80.04,223.61,170.61,43.22,56.61,195.35,173.0
