城市,年度,全社会用电量万千瓦时,人工煤气和天然气供气总量万立方米市辖区,液化石油气供气总量吨市辖区,电折标准煤系数0.1229千克标准煤/千瓦小时=1.229吨标准煤/万千瓦小时,天然气折标准煤系数1.33千克标准煤/立方米=13.3吨标准煤/万立方米,液化石油气折标准煤系数1.7143千克标准煤/千克=1.7143吨标准煤/吨,总吨标准煤,取对数,实际GDP,能源效率
安康市,2006,74311,245,1400,1.229,13.3,1.7143,96986.739,11.48232954,1572362,0.061682195
安康市,2007,98717,245,1700,1.229,13.3,1.7143,127496.003,11.75584029,1732218.139,0.073602741
安康市,2008,99779,245,1700,1.229,13.3,1.7143,128801.201,11.76602542,1961424.78,0.065667163
安康市,2009,92858,245,2000,1.229,13.3,1.7143,120809.582,11.70197088,2323913.74,0.051985399
安康市,2010,112652,245,2121,1.229,13.3,1.7143,145343.8383,11.88685751,2557851.443,0.056822627
安康市,2011,118811,245,2500,1.229,13.3,1.7143,153562.969,11.94186598,2912287.691,0.052729327
安康市,2012,131790,245,2600,1.229,13.3,1.7143,169685.59,12.04170253,3433023.678,0.049427445
安康市,2013,165393,500,3100,1.229,13.3,1.7143,215232.327,12.27947331,4103696.688,0.0524484
安康市,2014,170968,780,2565,1.229,13.3,1.7143,224890.8515,12.32337046,4687914.459,0.047972473
安康市,2015,179373,922,2465,1.229,13.3,1.7143,236937.7665,12.3755528,5500016.092,0.043079468
安康市,2016,195357,1042,2465,1.229,13.3,1.7143,258178.1025,12.46140495,6062865.769,0.04258351
安康市,2017,437136,1162,2465,1.229,13.3,1.7143,556920.4935,13.23017777,6703320.601,0.083081286
安康市,2018,516056,1317,2413,1.229,13.3,1.7143,655885.5299,13.39374156,7560172.746,0.086755363
安康市,2019,540882,1317,2413,1.229,13.3,1.7143,686396.6839,13.439211,7755029.763,0.088509871
安康市,2020,540900,4259,5115,1.229,13.3,1.7143,730179.4445,13.5010456,7193642.485,0.101503438
